capability-registry-v2
akonadi-socket-present	unix-socket	none	linux	available	unavailable
busctl-present	command-present	none	linux	available	unavailable
chsh-present	command-present	none	linux	available	unavailable
docker-credential-secretservice-present	command-present	none	linux	available	unavailable
dotnet-present	command-present	none	linux	available	unavailable
fc-cache-present	command-present	none	linux	available	unavailable
fc-match-present	command-present	none	linux	available	unavailable
fcitx5-present	command-present	none	linux	available	unavailable
gh-present	command-present	none	any	available	unavailable
glab-present	command-present	none	any	available	unavailable
graphical-session-present	graphical-session	none	linux	available	unavailable
gsettings-present	command-present	none	linux	available	unavailable
kwriteconfig6-present	command-present	none	linux	available	unavailable
mariadb-present	command-present	none	linux	available	unavailable
minikube-present	command-present	none	linux	available	unavailable
mise-present	command-present	none	any	available	unavailable
nvidia-ctk-present	command-present	none	linux	available	unavailable
omp-present	command-present	none	linux	available	unavailable
plasma-apply-wallpaperimage-present	command-present	none	linux	available	unavailable
plasmashell-running	user-process	read-only-subprocess	linux	available	unavailable
podman-socket-unit-present	user-manager-unit	read-only-subprocess	linux	available	unavailable
ptyxis-present	command-present	none	linux	available	unavailable
session-bus-present	session-bus	none	linux	available	unavailable
sqlite3-present	command-present	none	linux	available	unavailable
sudo-usable	sudo-nonrefreshing	sudo-credential-probe	linux	available	unavailable
timedatectl-present	command-present	none	linux	available	unavailable
tokscale-present	command-present	none	any	available	unavailable
user-manager-bus-present	user-manager-bus	read-only-subprocess	linux	available	unavailable
usr-bin-1password-present	absolute-executable	none	linux	available	unavailable
usr-bin-python3-present	absolute-executable	none	linux	available	unavailable
xdg-mime-present	command-present	none	linux	available	unavailable
xdg-settings-present	command-present	none	linux	available	unavailable
zsh-present	command-present	none	linux	available	unavailable
